Year, Week, Age Group,A (H1),A (Unable to Subtype),A (H3),A (H1N1)pdm09,A (Subtyping not Performed),B (Victoria Lineage),B (Yamagata Lineage),B (Lineage Unspecified),H3N2v
2024,44,5-24 yr,0,0,84,43,13,10,0,1,0
2024,45,5-24 yr,0,0,95,63,12,16,0,3,0
2024,46,5-24 yr,0,0,111,65,11,8,0,3,0
2024,47,5-24 yr,0,0,127,80,21,14,0,7,0
2024,48,5-24 yr,0,0,144,102,13,10,0,9,0
2024,49,5-24 yr,0,0,237,132,23,21,0,9,0
2024,50,5-24 yr,0,0,410,282,49,31,0,11,0
2024,51,5-24 yr,0,0,613,362,70,18,0,16,0
2024,52,5-24 yr,0,0,595,336,98,20,0,22,0
2025,1,5-24 yr,0,0,402,265,120,5,0,21,0
2025,2,5-24 yr,0,0,434,273,126,12,0,23,0
2025,3,5-24 yr,0,0,600,506,231,29,0,26,0
2025,4,5-24 yr,0,0,750,634,335,22,0,32,0
2025,5,5-24 yr,0,0,804,723,566,28,0,68,0
2025,6,5-24 yr,0,0,639,625,490,35,0,76,0
2025,7,5-24 yr,0,0,489,501,228,35,0,82,0
2025,8,5-24 yr,0,0,377,372,82,59,0,62,0
2025,9,5-24 yr,0,0,272,341,105,35,0,59,0
2025,10,5-24 yr,0,0,193,259,124,64,0,66,0
2025,11,5-24 yr,0,0,161,201,132,47,0,92,0
2025,12,5-24 yr,0,0,121,134,64,59,0,78,0
2025,13,5-24 yr,0,0,62,100,22,54,0,73,0
2025,14,5-24 yr,0,0,53,89,9,83,0,92,0
2025,15,5-24 yr,0,0,48,63,10,69,0,93,0
2025,16,5-24 yr,0,0,38,40,3,56,0,90,0
2025,17,5-24 yr,0,0,24,36,5,39,0,78,0
2025,18,5-24 yr,0,0,22,30,2,77,0,56,0
2025,19,5-24 yr,0,0,8,30,0,62,0,54,0
2025,20,5-24 yr,0,0,8,21,3,52,0,31,0
2025,21,5-24 yr,0,0,3,15,3,45,0,17,0
2025,22,5-24 yr,0,0,2,16,0,33,0,17,0
2025,23,5-24 yr,0,0,3,13,0,21,0,18,0
2025,24,5-24 yr,0,0,0,11,0,18,0,7,0
2025,25,5-24 yr,0,0,2,5,2,17,0,6,0
2025,26,5-24 yr,0,0,0,18,0,4,0,5,0
2025,27,5-24 yr,0,0,4,9,0,6,0,0,0
2025,28,5-24 yr,0,0,4,7,0,5,0,0,0
2025,29,5-24 yr,0,0,0,7,0,5,0,2,0
2025,30,5-24 yr,0,0,11,12,1,8,0,1,0
2025,31,5-24 yr,0,0,4,12,0,2,0,1,0
2025,32,5-24 yr,0,0,4,3,0,2,0,1,0
2025,33,5-24 yr,0,0,0,10,0,1,0,0,0
2025,34,5-24 yr,0,0,4,11,0,2,0,1,0
2025,35,5-24 yr,0,0,4,17,3,2,0,0,0
2025,36,5-24 yr,0,0,9,9,0,0,0,1,0
2025,37,5-24 yr,0,0,12,11,1,0,0,0,0
2025,38,5-24 yr,0,0,13,6,1,1,0,1,0
2025,39,5-24 yr,0,0,12,5,2,3,0,4,0
2024,40,25-64 yr,0,0,22,27,6,0,0,0,0
2024,41,25-64 yr,0,0,22,19,11,0,0,0,0
2024,42,25-64 yr,0,0,18,27,5,7,0,0,0
2024,43,25-64 yr,0,0,45,47,5,2,0,0,0
2024,44,25-64 yr,0,0,62,48,6,4,0,1,0
2024,45,25-64 yr,0,0,72,57,8,1,0,0,0
2024,46,25-64 yr,0,0,98,54,20,3,0,3,0
2024,47,25-64 yr,0,0,95,84,14,7,0,4,0
2024,48,25-64 yr,0,0,131,116,13,4,0,3,0
2024,49,25-64 yr,0,0,272,200,23,11,0,10,0
2024,50,25-64 yr,0,0,411,343,55,15,0,17,0
2024,51,25-64 yr,0,0,674,469,108,9,0,6,0
2024,52,25-64 yr,0,0,861,693,162,7,0,15,0
2025,1,25-64 yr,0,0,901,752,305,7,0,24,0
2025,2,25-64 yr,0,0,851,673,263,15,0,11,0
2025,3,25-64 yr,0,0,754,763,350,15,0,21,0
2025,4,25-64 yr,0,0,943,1092,393,17,0,34,0
2025,5,25-64 yr,0,0,1114,1429,707,28,0,41,0
2025,6,25-64 yr,0,0,936,1372,632,22,0,57,0
2025,7,25-64 yr,0,0,728,1082,311,27,0,47,0
2025,8,25-64 yr,0,0,526,954,179,29,0,39,0
2025,9,25-64 yr,0,0,415,760,200,37,0,46,0
2025,10,25-64 yr,0,0,291,567,172,34,0,51,0
2025,11,25-64 yr,0,0,206,456,176,38,0,58,0
2025,12,25-64 yr,0,0,150,374,106,45,0,46,0
2025,13,25-64 yr,0,0,97,257,46,51,0,52,0
2025,14,25-64 yr,0,0,63,179,27,77,0,50,0
2025,15,25-64 yr,0,0,40,132,14,41,0,58,0
2025,16,25-64 yr,0,0,24,97,22,47,0,48,0
2025,17,25-64 yr,0,0,33,84,19,47,0,41,0
2025,18,25-64 yr,0,0,15,47,6,47,0,38,0
2025,19,25-64 yr,0,0,10,58,3,30,0,19,0
2025,20,25-64 yr,0,0,8,48,3,42,0,13,0
2025,21,25-64 yr,0,0,6,22,2,16,0,9,0
2025,22,25-64 yr,0,0,4,30,2,23,0,6,0
2025,23,25-64 yr,0,0,3,34,4,19,0,11,0
2025,24,25-64 yr,0,0,5,34,4,14,0,7,0
2025,25,25-64 yr,0,0,5,19,1,8,0,3,0
2025,26,25-64 yr,0,0,2,29,1,9,0,6,0
2025,27,25-64 yr,0,0,4,16,0,5,0,5,0
2025,28,25-64 yr,0,0,4,16,1,4,0,1,0
2025,29,25-64 yr,0,0,2,21,0,2,0,1,0
2025,30,25-64 yr,0,0,11,17,2,6,0,0,0
2025,31,25-64 yr,0,0,5,13,0,5,0,0,0
2025,32,25-64 yr,0,0,7,15,0,0,0,1,0
2025,33,25-64 yr,0,0,5,11,2,2,0,0,0
