Date,Temp,WeekOfYear,SinWeek,CosWeek
2021-07-15,17.5,28,-0.23931566428755743,-0.9709418174260521
2021-07-16,18.3,28,-0.23931566428755743,-0.9709418174260521
2021-07-17,20.6,28,-0.23931566428755743,-0.9709418174260521
2021-07-18,21.4,28,-0.23931566428755743,-0.9709418174260521
2021-07-19,21.3,29,-0.3546048870425356,-0.9350162426854148
2021-07-20,21.7,29,-0.3546048870425356,-0.9350162426854148
2021-07-21,21.6,29,-0.3546048870425356,-0.9350162426854148
2021-07-22,22.3,29,-0.3546048870425356,-0.9350162426854148
2021-07-23,19.2,29,-0.3546048870425356,-0.9350162426854148
2021-07-24,17.5,29,-0.3546048870425356,-0.9350162426854148
2021-07-25,17.6,29,-0.3546048870425356,-0.9350162426854148
2021-07-26,19.3,30,-0.46472317204376806,-0.8854560256532101
2021-07-27,18.4,30,-0.46472317204376806,-0.8854560256532101
2021-07-28,16.7,30,-0.46472317204376806,-0.8854560256532101
2021-07-29,15.0,30,-0.46472317204376806,-0.8854560256532101
2021-07-30,14.4,30,-0.46472317204376806,-0.8854560256532101
2021-07-31,16.2,30,-0.46472317204376806,-0.8854560256532101
2021-08-01,15.6,30,-0.46472317204376806,-0.8854560256532101
2021-08-02,14.8,31,-0.5680647467311556,-0.8229838658936565
2021-08-03,14.7,31,-0.5680647467311556,-0.8229838658936565
2021-08-04,15.9,31,-0.5680647467311556,-0.8229838658936565
2021-08-05,15.7,31,-0.5680647467311556,-0.8229838658936565
2021-08-06,17.3,31,-0.5680647467311556,-0.8229838658936565
2021-08-07,15.5,31,-0.5680647467311556,-0.8229838658936565
2021-08-08,16.0,31,-0.5680647467311556,-0.8229838658936565
2021-08-09,16.1,32,-0.663122658240795,-0.7485107481711013
2021-08-10,16.8,32,-0.663122658240795,-0.7485107481711013
2021-08-11,16.4,32,-0.663122658240795,-0.7485107481711013
2021-08-12,16.7,32,-0.663122658240795,-0.7485107481711013
2021-08-13,16.6,32,-0.663122658240795,-0.7485107481711013
2021-08-14,17.4,32,-0.663122658240795,-0.7485107481711013
2021-08-15,16.9,32,-0.663122658240795,-0.7485107481711013
2021-08-16,14.5,33,-0.7485107481711011,-0.6631226582407952
2021-08-17,14.9,33,-0.7485107481711011,-0.6631226582407952
2021-08-18,17.2,33,-0.7485107481711011,-0.6631226582407952
2021-08-19,16.8,33,-0.7485107481711011,-0.6631226582407952
2021-08-20,17.6,33,-0.7485107481711011,-0.6631226582407952
2021-08-21,16.9,33,-0.7485107481711011,-0.6631226582407952
2021-08-22,17.5,33,-0.7485107481711011,-0.6631226582407952
2021-08-23,17.4,34,-0.8229838658936564,-0.5680647467311559
2021-08-24,16.3,34,-0.8229838658936564,-0.5680647467311559
2021-08-25,16.3,34,-0.8229838658936564,-0.5680647467311559
2021-08-26,16.3,34,-0.8229838658936564,-0.5680647467311559
2021-08-27,13.7,34,-0.8229838658936564,-0.5680647467311559
2021-08-28,14.7,34,-0.8229838658936564,-0.5680647467311559
2021-08-29,13.5,34,-0.8229838658936564,-0.5680647467311559
2021-08-30,14.3,35,-0.8854560256532096,-0.4647231720437691
2021-08-31,14.4,35,-0.8854560256532096,-0.4647231720437691
2021-09-01,14.9,35,-0.8854560256532096,-0.4647231720437691
2021-09-02,16.0,35,-0.8854560256532096,-0.4647231720437691
2021-09-03,16.1,35,-0.8854560256532096,-0.4647231720437691
2021-09-04,15.4,35,-0.8854560256532096,-0.4647231720437691
2021-09-05,18.0,35,-0.8854560256532096,-0.4647231720437691
2021-09-06,19.1,36,-0.9350162426854147,-0.3546048870425359
2021-09-07,20.5,36,-0.9350162426854147,-0.3546048870425359
2021-09-08,21.4,36,-0.9350162426854147,-0.3546048870425359
2021-09-09,18.8,36,-0.9350162426854147,-0.3546048870425359
2021-09-10,18.4,36,-0.9350162426854147,-0.3546048870425359
2021-09-11,18.5,36,-0.9350162426854147,-0.3546048870425359
2021-09-12,15.0,36,-0.9350162426854147,-0.3546048870425359
2021-09-13,15.4,37,-0.970941817426052,-0.23931566428755774
2021-09-14,15.3,37,-0.970941817426052,-0.23931566428755774
2021-09-15,15.7,37,-0.970941817426052,-0.23931566428755774
2021-09-16,16.2,37,-0.970941817426052,-0.23931566428755774
2021-09-17,15.6,37,-0.970941817426052,-0.23931566428755774
2021-09-18,16.5,37,-0.970941817426052,-0.23931566428755774
2021-09-19,15.6,37,-0.970941817426052,-0.23931566428755774
2021-09-20,13.9,38,-0.992708874098054,-0.12053668025532357
2021-09-21,14.7,38,-0.992708874098054,-0.12053668025532357
2021-09-22,14.6,38,-0.992708874098054,-0.12053668025532357
2021-09-23,15.6,38,-0.992708874098054,-0.12053668025532357
2021-09-24,16.4,38,-0.992708874098054,-0.12053668025532357
2021-09-25,17.1,38,-0.992708874098054,-0.12053668025532357
2021-09-26,16.5,38,-0.992708874098054,-0.12053668025532357
2021-09-27,13.9,39,-1.0,-1.8369701987210297e-16
2021-09-28,12.4,39,-1.0,-1.8369701987210297e-16
2021-09-29,10.5,39,-1.0,-1.8369701987210297e-16
2021-09-30,11.0,39,-1.0,-1.8369701987210297e-16
2021-10-01,13.4,39,-1.0,-1.8369701987210297e-16
2021-10-02,9.9,39,-1.0,-1.8369701987210297e-16
2021-10-03,11.2,39,-1.0,-1.8369701987210297e-16
2021-10-04,11.8,40,-0.992708874098054,0.1205366802553232
2021-10-05,11.3,40,-0.992708874098054,0.1205366802553232
2021-10-06,12.1,40,-0.992708874098054,0.1205366802553232
2021-10-07,14.8,40,-0.992708874098054,0.1205366802553232
2021-10-08,14.9,40,-0.992708874098054,0.1205366802553232
2021-10-09,13.9,40,-0.992708874098054,0.1205366802553232
2021-10-10,12.5,40,-0.992708874098054,0.1205366802553232
