Season,ISOyear,WeekBeginning,WeekEnding,WastewaterTreatmentWork,Average(Mgc),Average(Mgc)QF,PercentCoverage
2019/20,2020,20200627,20200703,Shieldhall,0.06,,100
2019/20,2020,20200627,20200703,Allanfearn,0,,100
2019/20,2020,20200627,20200703,Fort William,NA,:,0
2019/20,2020,20200627,20200703,Helensburgh,NA,:,0
2019/20,2020,20200627,20200703,Nairn,NA,:,0
2019/20,2020,20200627,20200703,Carbarns,NA,:,0
2019/20,2020,20200627,20200703,Hamilton,NA,:,0
2019/20,2020,20200627,20200703,Philipshill,NA,:,0
2019/20,2020,20200627,20200703,Seafield,NA,:,0
2019/20,2020,20200627,20200703,Kirkwall,NA,:,0
2019/20,2020,20200627,20200703,Lerwick,NA,:,0
2019/20,2020,20200627,20200703,Hatton,NA,:,0
2019/20,2020,20200627,20200703,Stornoway,NA,:,0
2019/20,2020,20200627,20200703,Cumnock,NA,:,0
2019/20,2020,20200627,20200703,Fairlie,NA,:,0
2019/20,2020,20200627,20200703,Girvan,NA,:,0
2019/20,2020,20200627,20200703,Largs,NA,:,0
2019/20,2020,20200627,20200703,Maybole,NA,:,0
2019/20,2020,20200627,20200703,Muirkirk,NA,:,0
2019/20,2020,20200627,20200703,New Cumnock,NA,:,0
2019/20,2020,20200627,20200703,Stevenston,NA,:,0
2019/20,2020,20200627,20200703,Coldstream,NA,:,0
2019/20,2020,20200627,20200703,Duns,NA,:,0
2019/20,2020,20200627,20200703,Eyemouth,NA,:,0
2019/20,2020,20200627,20200703,Jedburgh,NA,:,0
2019/20,2020,20200627,20200703,Kelso,NA,:,0
2019/20,2020,20200627,20200703,Newtown St Boswell,NA,:,0
2019/20,2020,20200627,20200703,Selkirk,NA,:,0
2019/20,2020,20200627,20200703,Langholm,NA,:,0
2019/20,2020,20200627,20200703,Loch Ryan,NA,:,0
2019/20,2020,20200627,20200703,Sanquhar,NA,:,0
2019/20,2020,20200627,20200703,Bowhouse,NA,:,0
2019/20,2020,20200627,20200703,Cupar,NA,:,0
2019/20,2020,20200627,20200703,Guardbridge,NA,:,0
2019/20,2020,20200627,20200703,Ironmill Bay,NA,:,0
2019/20,2020,20200627,20200703,Kincardine,NA,:,0
2019/20,2020,20200627,20200703,Kirkcaldy,NA,:,0
2019/20,2020,20200627,20200703,Newburgh,NA,:,0
2019/20,2020,20200627,20200703,Newport & Tayport,NA,:,0
2019/20,2020,20200627,20200703,Springfield,NA,:,0
2019/20,2020,20200627,20200703,St Andrews,NA,:,0
2019/20,2020,20200627,20200703,Alloa,NA,:,0
2019/20,2020,20200627,20200703,Alva,NA,:,0
2019/20,2020,20200627,20200703,Boness,NA,:,0
2019/20,2020,20200627,20200703,Bonnybridge,NA,:,0
2019/20,2020,20200627,20200703,Denny,NA,:,0
2019/20,2020,20200627,20200703,Dunblane,NA,:,0
2019/20,2020,20200627,20200703,Kinneil,NA,:,0
2019/20,2020,20200627,20200703,Tillicoultry,NA,:,0
2019/20,2020,20200627,20200703,Banchory,NA,:,0
2019/20,2020,20200627,20200703,Banff,NA,:,0
2019/20,2020,20200627,20200703,Buckie,NA,:,0
2019/20,2020,20200627,20200703,Ellon,NA,:,0
2019/20,2020,20200627,20200703,Forres,NA,:,0
2019/20,2020,20200627,20200703,Fraserburgh,NA,:,0
2019/20,2020,20200627,20200703,Huntly,NA,:,0
2019/20,2020,20200627,20200703,Inverurie,NA,:,0
2019/20,2020,20200627,20200703,Lossiemouth,NA,:,0
2019/20,2020,20200627,20200703,Persley,NA,:,0
2019/20,2020,20200627,20200703,Peterhead,NA,:,0
2019/20,2020,20200627,20200703,Turriff,NA,:,0
2019/20,2020,20200627,20200703,Ardoch,NA,:,0
2019/20,2020,20200627,20200703,Daldowie,NA,:,0
2019/20,2020,20200627,20200703,Dalmarnock,NA,:,0
2019/20,2020,20200627,20200703,Erskine,NA,:,0
2019/20,2020,20200627,20200703,Inverclyde,NA,:,0
2019/20,2020,20200627,20200703,Neilston,NA,:,0
2019/20,2020,20200627,20200703,Paisley,NA,:,0
2019/20,2020,20200627,20200703,Uplawmoor,NA,:,0
2019/20,2020,20200627,20200703,Alness,NA,:,0
2019/20,2020,20200627,20200703,Aviemore,NA,:,0
2019/20,2020,20200627,20200703,Dunoon,NA,:,0
2019/20,2020,20200627,20200703,Grantown on Spey,NA,:,0
2019/20,2020,20200627,20200703,Oban,NA,:,0
2019/20,2020,20200627,20200703,Thurso,NA,:,0
2019/20,2020,20200627,20200703,Wick,NA,:,0
2019/20,2020,20200627,20200703,Allers,NA,:,0
2019/20,2020,20200627,20200703,Biggar,NA,:,0
2019/20,2020,20200627,20200703,Blackwood,NA,:,0
2019/20,2020,20200627,20200703,Bothwellbank,NA,:,0
2019/20,2020,20200627,20200703,Dunnswood,NA,:,0
2019/20,2020,20200627,20200703,Harthill,NA,:,0
2019/20,2020,20200627,20200703,Lanark,NA,:,0
2019/20,2020,20200627,20200703,Lesmahagow,NA,:,0
2019/20,2020,20200627,20200703,Mauldslie,NA,:,0
2019/20,2020,20200627,20200703,Shotts,NA,:,0
2019/20,2020,20200627,20200703,Skellyton,NA,:,0
2019/20,2020,20200627,20200703,Stonehouse,NA,:,0
2019/20,2020,20200627,20200703,Strathaven,NA,:,0
2019/20,2020,20200627,20200703,Swinstie,NA,:,0
2019/20,2020,20200627,20200703,Armadale,NA,:,0
2019/20,2020,20200627,20200703,Bathgate,NA,:,0
2019/20,2020,20200627,20200703,Blackburn,NA,:,0
2019/20,2020,20200627,20200703,Blackridge,NA,:,0
